IDucznia;Ocena;Data;IDprzedmiotu
1;1;2008-07-01;1
2;2;2008-07-02;1
3;3;2008-07-03;2
341;1;2008-07-04;2
342;1;2008-07-05;3
345;2;2008-07-06;3
554;5;2008-05-05;1
42;4;2008-05-06;1
45;1;2008-05-07;2
1;2;2008-05-08;2
2;3;2008-05-09;3
3;4;2008-05-10;3
341;1;2008-05-11;1
342;2;2008-05-12;1
345;3;2008-05-13;2
554;4;2008-05-14;2
42;1;2008-05-15;3
45;2;2008-05-16;3
1;3;2008-05-17;1
2;4;2008-05-18;1
3;1;2008-05-19;2
341;2;2009-05-20;2
342;2;2009-05-01;2
345;4;2009-05-02;3
554;5;2009-05-03;1
42;2;2009-05-04;1
45;3;2009-05-05;2
1;1;2009-05-06;2
2;1;2009-05-07;3
3;2;2009-05-08;3
341;3;2009-05-09;1
342;4;2009-05-10;1
345;1;2009-05-11;2
554;5;2009-05-12;2
42;3;2009-05-13;3
45;4;2010-01-02;3
1;1;2010-01-03;1
2;2;2010-01-04;1
3;3;2010-01-05;2
341;3;2010-01-06;2
342;1;2010-01-07;3
345;2;2010-01-08;3
554;5;2010-01-09;1
42;4;2010-01-10;1
45;1;2010-01-11;2
1;2;2011-12-04;2
2;3;2011-12-05;3
3;4;2011-12-06;3
341;1;2011-12-07;1
342;2;2011-12-08;1
345;3;2011-12-09;2
554;4;2011-12-10;2
42;1;2011-12-11;3
45;2;2011-12-12;3
1;3;2011-12-13;1
2;4;2011-12-14;1
3;1;2011-12-15;2
341;4;2012-05-05;2
342;3;2012-05-06;3
345;4;2012-05-07;3
554;4;2012-05-08;1
42;2;2012-05-09;2
45;3;2012-05-10;3
